order_id,sys_a_amount_attribute_1,date
62916227,348.999,2024-06-29
32688960,978.999,2024-06-28
16206822,798.997,2024-06-30
41959833,1998.999,2024-06-30
58906757,798.998,2024-06-30
72345696,974.001,2024-06-29
85996726,1148.997,2024-06-27
79528355,999.002,2024-06-28
23100245,698.996,2024-06-27
71519793,538.997,2024-06-29
78210583,748.997,2024-06-30
58897988,718.998,2024-06-30
29977219,1052.005,2024-06-24
48053583,616.004,2024-06-28
87266869,479.0,2024-06-27
48330068,848.999,2024-06-28
89148931,998.996,2024-06-28
30555155,1358.995,2024-06-30
58752348,198.996,2024-06-26
94407984,1051.994,2024-06-28
52038184,899.002,2024-06-30
66581575,340.998,2024-06-28
68419587,479.0,2024-06-29
64853343,358.995,2024-06-25
55221229,998.996,2024-06-27
17969236,998.996,2024-06-28
36327746,949.001,2024-06-30
18334679,599.004,2024-06-29
97928919,1099.0,2024-06-30
83678984,748.997,2024-06-28
58201077,558.999,2024-06-24
87462958,911.001,2024-06-26
63056990,699.004,2024-06-28
65635709,2249.005,2024-06-28
55266047,348.999,2024-06-30
87845810,1199.005,2024-06-28
70985723,339.003,2024-06-29
87782628,749.0,2024-06-28
88975626,448.997,2024-06-25
84000849,1424.002,2024-06-29
10651860,538.997,2024-06-30
17755711,1248.995,2024-06-30
53160824,699.004,2024-06-28
84353582,248.997,2024-06-28
23490365,2392.992,2024-06-27
89419347,647.997,2024-06-28
28763869,1087.005,2024-06-27
57618299,1499.002,2024-06-26
67721859,1999.003,2024-06-29
29417208,935.004,2024-06-30
42146950,1249.008,2024-06-30
53281606,808.999,2024-06-26
54702281,1438.999,2024-06-30
28595914,449.001,2024-06-29
36979787,299.001,2024-06-27
44254222,1278.996,2024-06-27
75245024,808.999,2024-06-27
92977854,348.999,2024-06-27
46241145,2879.006,2024-06-30
46755500,1038.996,2024-06-29
37235200,638.999,2024-06-28
53167264,1248.995,2024-06-26
81679954,1149.002,2024-06-29
99143046,499.002,2024-06-30
12992737,718.998,2024-06-29
